epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,27750,0.00538,0.01387,1.87791,1.0475,0.4639,0.34584,0.33701,0.27187,0.46063,0.34414,0.33432,0.23476,0.00444,0.01027,1.71687,0.90851,1.24131e-05,1.24131e-05,1.24131e-05
86,27918.8,0.00436,0.01008,1.44084,0.95543,0.46896,0.33564,0.33077,0.26511,0.46899,0.33508,0.32789,0.2299,0.00445,0.0104,1.73213,0.90895,1.14537e-05,1.14537e-05,1.14537e-05
87,28086.6,0.00422,0.00949,1.30342,0.94015,0.47473,0.34093,0.33488,0.26862,0.47788,0.3355,0.33167,0.23359,0.00443,0.01032,1.71333,0.90623,1.04943e-05,1.04943e-05,1.04943e-05
88,28252.8,0.00418,0.00937,1.27708,0.93459,0.48013,0.34516,0.33833,0.27059,0.4802,0.33792,0.33327,0.23468,0.00441,0.01033,1.71357,0.90393,9.53495e-06,9.53495e-06,9.53495e-06
89,28419,0.00416,0.00929,1.25415,0.93232,0.49754,0.33855,0.33865,0.27203,0.4904,0.33689,0.33366,0.23585,0.0044,0.01023,1.70951,0.90339,8.57558e-06,8.57558e-06,8.57558e-06
90,28585,0.0041,0.00923,1.23628,0.92802,0.48217,0.34745,0.33805,0.27164,0.47462,0.34693,0.33425,0.23587,0.00439,0.01022,1.71072,0.9037,7.61621e-06,7.61621e-06,7.61621e-06
91,28745.5,0.0041,0.00919,1.21843,0.92012,0.48616,0.34388,0.33919,0.27309,0.48776,0.34128,0.33519,0.23671,0.00439,0.01022,1.71075,0.90289,6.65684e-06,6.65684e-06,6.65684e-06
92,28915.5,0.00412,0.00921,1.22846,0.93007,0.488,0.34135,0.33893,0.27287,0.48796,0.33924,0.33543,0.23676,0.0044,0.0102,1.71425,0.90313,5.69747e-06,5.69747e-06,5.69747e-06
93,29084.2,0.00409,0.00915,1.21403,0.92623,0.4787,0.34484,0.33972,0.27372,0.47216,0.34453,0.33644,0.23806,0.00439,0.01019,1.71432,0.90261,4.73811e-06,4.73811e-06,4.73811e-06
94,29255.5,0.0041,0.00917,1.21155,0.92919,0.47879,0.34506,0.34122,0.27485,0.48208,0.34208,0.33824,0.23982,0.00438,0.01014,1.71442,0.90103,3.77874e-06,3.77874e-06,3.77874e-06
95,29418.9,0.00407,0.0091,1.19286,0.92237,0.47906,0.34653,0.33915,0.27341,0.47822,0.34299,0.33586,0.23802,0.00438,0.01015,1.71326,0.90066,2.81937e-06,2.81937e-06,2.81937e-06
